{'Image': '0011165', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '937', 'Largeur': 644.0, 'Taille': 603428.0, 'cx': 512.0, 'cy': 787.0}
{'Image': '008a5ff', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '646', 'Largeur': 414.0, 'Taille': 267444.0, 'cx': 394.0, 'cy': 1071.0}
{'Image': '0091591', 'Presence': 0, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0091591', 'Presence': 1, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': '1081', 'Largeur': 634.0, 'Taille': 685354.0, 'cx': 1633.0, 'cy': 860.0}
{'Image': '0091591', 'Presence': 1, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': '847', 'Largeur': 641.0, 'Taille': 542927.0, 'cx': 331.0, 'cy': 443.0}
{'Image': '0091591', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '430', 'Largeur': 633.0, 'Taille': 272190.0, 'cx': 1059.0, 'cy': 237.0}
{'Image': '0095357', 'Presence': 0, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0095357', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0095357', 'Presence': 0, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0095357', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '373', 'Largeur': 511.0, 'Taille': 190603.0, 'cx': 1512.0, 'cy': 941.0}
{'Image': '009e2f3', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '818', 'Largeur': 985.0, 'Taille': 805730.0, 'cx': 755.0, 'cy': 421.0}
{'Image': '009e2f3', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '009e2f3', 'Presence': 1, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': '1024', 'Largeur': 457.0, 'Taille': 467968.0, 'cx': 1842.0, 'cy': 874.0}
{'Image': '009e2f3', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '655', 'Largeur': 542.0, 'Taille': 355010.0, 'cx': 1258.0, 'cy': 1073.0}
{'Image': '00a0954', 'Presence': 0, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '00a0954', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '00a0954', 'Presence': 1, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': '335', 'Largeur': 892.0, 'Taille': 298820.0, 'cx': 1037.0, 'cy': 213.0}
{'Image': '00a0954', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '366', 'Largeur': 1065.0, 'Taille': 389790.0, 'cx': 1276.0, 'cy': 1194.0}
{'Image': '00b81e1', 'Presence': 0, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '00b81e1', 'Presence': 1, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': '550', 'Largeur': 249.0, 'Taille': 136950.0, 'cx': 1391.0, 'cy': 1047.0}
{'Image': '00b81e1', 'Presence': 1, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': '665', 'Largeur': 553.0, 'Taille': 367745.0, 'cx': 302.0, 'cy': 1057.0}
{'Image': '00b81e1', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '837', 'Largeur': 674.0, 'Taille': 564138.0, 'cx': 338.0, 'cy': 420.0}
{'Image': '00bea06', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '556', 'Largeur': 1283.0, 'Taille': 713348.0, 'cx': 1094.0, 'cy': 639.0}
{'Image': '00bea06', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '00bea06', 'Presence': 1, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': '380', 'Largeur': 480.0, 'Taille': 182400.0, 'cx': 1375.0, 'cy': 1192.0}
{'Image': '00bea06', 'Presence': 0, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '00cedfa', 'Presence': 0, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '00cedfa', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '00cedfa', 'Presence': 1, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': '1092', 'Largeur': 557.0, 'Taille': 608244.0, 'cx': 485.0, 'cy': 645.0}
{'Image': '00cedfa', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '753', 'Largeur': 741.0, 'Taille': 557973.0, 'cx': 373.0, 'cy': 382.0}
{'Image': '00d4443', 'Presence': 0, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '00d4443', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '00d4443', 'Presence': 0, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '00d4443', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '806', 'Largeur': 652.0, 'Taille': 525512.0, 'cx': 377.0, 'cy': 690.0}
{'Image': '00dec6a', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '491', 'Largeur': 1061.0, 'Taille': 520951.0, 'cx': 1186.0, 'cy': 1147.0}
{'Image': '00dec6a', 'Presence': 1, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': '840', 'Largeur': 657.0, 'Taille': 551880.0, 'cx': 957.0, 'cy': 482.0}
{'Image': '00dec6a', 'Presence': 1, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': '843', 'Largeur': 558.0, 'Taille': 470394.0, 'cx': 1574.0, 'cy': 453.0}
{'Image': '00dec6a', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '451', 'Largeur': 942.0, 'Taille': 424842.0, 'cx': 737.0, 'cy': 246.0}
{'Image': '0100a84', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '1278', 'Largeur': 491.0, 'Taille': 627498.0, 'cx': 706.0, 'cy': 648.0}
{'Image': '0100a84', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0100a84', 'Presence': 1, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': '264', 'Largeur': 25.0, 'Taille': 6600.0, 'cx': 14.0, 'cy': 1263.0}
{'Image': '0100a84', 'Presence': 0, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0104b5b', 'Presence': 0, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0104b5b', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0104b5b', 'Presence': 0, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0104b5b', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '640', 'Largeur': 375.0, 'Taille': 240000.0, 'cx': 410.0, 'cy': 928.0}
{'Image': '0107838', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '1236', 'Largeur': 756.0, 'Taille': 934416.0, 'cx': 1170.0, 'cy': 698.0}
{'Image': '0107838', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0107838', 'Presence': 1, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': '494', 'Largeur': 137.0, 'Taille': 67678.0, 'cx': 1792.0, 'cy': 568.0}
{'Image': '0107838', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '248', 'Largeur': 77.0, 'Taille': 19096.0, 'cx': 1345.0, 'cy': 1221.0}
{'Image': '0118bff', 'Presence': 0, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0118bff', 'Presence': 1, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': '609', 'Largeur': 1369.0, 'Taille': 833721.0, 'cx': 1134.0, 'cy': 974.0}
{'Image': '0118bff', 'Presence': 0, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0118bff', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '538', 'Largeur': 709.0, 'Taille': 381442.0, 'cx': 368.0, 'cy': 1127.0}
{'Image': '011ba04', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '354', 'Largeur': 381.0, 'Taille': 134874.0, 'cx': 1649.0, 'cy': 819.0}
{'Image': '011ba04', 'Presence': 1, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': '826', 'Largeur': 154.0, 'Taille': 127204.0, 'cx': 1735.0, 'cy': 829.0}
{'Image': '011ba04', 'Presence': 0, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '011ba04', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '664', 'Largeur': 640.0, 'Taille': 424960.0, 'cx': 321.0, 'cy': 333.0}
{'Image': '01242d7', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '907', 'Largeur': 488.0, 'Taille': 442616.0, 'cx': 1153.0, 'cy': 625.0}
{'Image': '01242d7', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '01242d7', 'Presence': 1, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': '568', 'Largeur': 491.0, 'Taille': 278888.0, 'cx': 1645.0, 'cy': 583.0}
{'Image': '01242d7', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '477', 'Largeur': 129.0, 'Taille': 61533.0, 'cx': 66.0, 'cy': 303.0}
{'Image': '014310a', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '480', 'Largeur': 387.0, 'Taille': 185760.0, 'cx': 369.0, 'cy': 1160.0}
{'Image': '014310a', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '014310a', 'Presence': 0, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '014310a', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '464', 'Largeur': 294.0, 'Taille': 136416.0, 'cx': 415.0, 'cy': 783.0}
{'Image': '0146ef3', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '1263', 'Largeur': 1555.0, 'Taille': 1963965.0, 'cx': 975.0, 'cy': 655.0}
{'Image': '0146ef3', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0146ef3', 'Presence': 0, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0146ef3', 'Presence': 0, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0153a8b', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '268', 'Largeur': 447.0, 'Taille': 119796.0, 'cx': 756.0, 'cy': 1266.0}
{'Image': '0153a8b', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0153a8b', 'Presence': 1, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': '617', 'Largeur': 465.0, 'Taille': 286905.0, 'cx': 530.0, 'cy': 885.0}
{'Image': '0153a8b', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '1051', 'Largeur': 537.0, 'Taille': 564387.0, 'cx': 1533.0, 'cy': 555.0}
{'Image': '015aa06', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '293', 'Largeur': 898.0, 'Taille': 263114.0, 'cx': 1585.0, 'cy': 932.0}
{'Image': '015aa06', 'Presence': 1, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': '1081', 'Largeur': 1103.0, 'Taille': 1192343.0, 'cx': 1479.0, 'cy': 543.0}
{'Image': '015aa06', 'Presence': 1, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': '252', 'Largeur': 1.0, 'Taille': 252.0, 'cx': 33.0, 'cy': 577.0}
{'Image': '015aa06', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '748', 'Largeur': 476.0, 'Taille': 356048.0, 'cx': 333.0, 'cy': 396.0}
{'Image': '015b764', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '322', 'Largeur': 873.0, 'Taille': 281106.0, 'cx': 784.0, 'cy': 800.0}
{'Image': '015b764', 'Presence': 1, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': '733', 'Largeur': 547.0, 'Taille': 400951.0, 'cx': 844.0, 'cy': 368.0}
{'Image': '015b764', 'Presence': 0, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '015b764', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '629', 'Largeur': 727.0, 'Taille': 457283.0, 'cx': 379.0, 'cy': 1051.0}
{'Image': '016c135', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '509', 'Largeur': 311.0, 'Taille': 158299.0, 'cx': 1389.0, 'cy': 270.0}
{'Image': '016c135', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '016c135', 'Presence': 1, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': '1092', 'Largeur': 321.0, 'Taille': 350532.0, 'cx': 168.0, 'cy': 554.0}
{'Image': '016c135', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '592', 'Largeur': 659.0, 'Taille': 390128.0, 'cx': 331.0, 'cy': 864.0}
{'Image': '017ded1', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '136', 'Largeur': 1.0, 'Taille': 136.0, 'cx': 343.0, 'cy': 477.0}
{'Image': '017ded1', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '017ded1', 'Presence': 0, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '017ded1', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '1393', 'Largeur': 398.0, 'Taille': 554414.0, 'cx': 1894.0, 'cy': 704.0}
{'Image': '0187cd7', 'Presence': 0, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0187cd7', 'Presence': 1, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': '1282', 'Largeur': 578.0, 'Taille': 740996.0, 'cx': 1739.0, 'cy': 752.0}
{'Image': '0187cd7', 'Presence': 1, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': '330', 'Largeur': 431.0, 'Taille': 142230.0, 'cx': 258.0, 'cy': 822.0}
{'Image': '0187cd7', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '548', 'Largeur': 889.0, 'Taille': 487172.0, 'cx': 483.0, 'cy': 844.0}
{'Image': '01a7865', 'Presence': 0, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '01a7865', 'Presence': 1, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': '978', 'Largeur': 827.0, 'Taille': 808806.0, 'cx': 1667.0, 'cy': 490.0}
{'Image': '01a7865', 'Presence': 1, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': '7', 'Largeur': 3.0, 'Taille': 21.0, 'cx': 192.0, 'cy': 1397.0}
{'Image': '01a7865', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '613', 'Largeur': 928.0, 'Taille': 568864.0, 'cx': 883.0, 'cy': 860.0}
{'Image': '01c6ec3', 'Presence': 0, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '01c6ec3', 'Presence': 1, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': '1074', 'Largeur': 746.0, 'Taille': 801204.0, 'cx': 585.0, 'cy': 553.0}
{'Image': '01c6ec3', 'Presence': 0, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '01c6ec3', 'Presence': 0, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '01eecc1', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '232', 'Largeur': 1066.0, 'Taille': 247312.0, 'cx': 553.0, 'cy': 854.0}
{'Image': '01eecc1', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '01eecc1', 'Presence': 0, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '01eecc1', 'Presence': 0, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0208ccf', 'Presence': 0, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
